band,kruskal_stat,kruskal_pvalue,kruskal_pvalue_adj,ttest_stat,ttest_pvalue,ttest_pvalue_adj,pearson_r,pearson_pvalue,pearson_pvalue_adj,spearman_rho,spearman_pvalue,spearman_pvalue_adj,pvalue_adjusted,pvalue_adjusted_source,significant_at_alpha,effect_score,significance_score,consistency_score,ranking_score,direction_label,rank
1924,856.4922987154278,2.81924733010891e-188,6.731736124893386e-186,41.48839668384258,1.0085029909409342e-261,2.1672729275320675e-258,-0.706198577256581,1.0136249847507467e-261,2.178280092229355e-258,-0.7034175461296225,8.589520529104798e-259,2.0509866241162458e-256,2.1672729275320675e-258,ttest,True,2.678785496733014,4.946275680509473,0.6666666666666666,3.497944196425786,nao_irrigado,1
1925,861.0934921554544,2.817318769903824e-189,9.84839982906117e-187,41.061577676230044,3.945515593809902e-257,4.23945650554874e-254,-0.7026249176845311,5.784335752525583e-258,6.215268766088739e-255,-0.7053044428534887,8.93392994934068e-261,3.199835910188854e-258,3.199835910188854e-258,spearman,True,2.6725088019003747,4.915756918914829,0.6666666666666666,3.4813862410335084,nao_irrigado,2
1923,828.1592697062451,4.072487940314457e-182,6.732135833642898e-180,40.580734858138406,1.7672616005655453e-252,1.265948393205119e-249,-0.6982339575774063,2.0013046008490724e-253,1.4336011957415523e-250,-0.6916850671121932,8.305164459161998e-247,1.3729075709799334e-244,1.4336011957415523e-250,pearson,True,2.593857407749348,4.739565376963794,0.6666666666666666,3.366706919787581,nao_irrigado,3
1926,840.5269757137512,8.337490393421551e-185,1.7917266855462915e-182,39.66646698490561,1.6870643020344053e-242,9.063752962679842e-240,-0.6903173919427803,1.9016081777747125e-245,1.0216389935094644e-242,-0.6968307291694437,5.425777612482372e-252,1.1659996089224615e-249,1.1659996089224615e-249,spearman,True,2.584870062893527,4.679538654131637,0.6666666666666666,3.3356505893279906,nao_irrigado,4
487,869.3976355490804,4.410977862731668e-191,3.159730475670118e-188,38.073588081074845,9.91246760493435e-230,6.656841525938724e-228,-0.6750819759017118,8.486636058440881e-231,5.364053202820427e-229,-0.7086971616874658,2.21633150190334e-264,1.5876321325300924e-261,1.5876321325300924e-261,spearman,True,2.5810280122094515,4.632437367798759,0.6666666666666666,3.3127260876703617,nao_irrigado,5
486,859.1602782231848,7.4150654792824e-189,1.991871964372235e-186,38.10708105193501,5.747492631204715e-228,3.632753430723215e-226,-0.6753239228390239,5.0465880602610766e-231,3.389099294219079e-229,-0.7045122695655008,6.101714065129283e-260,1.6390729407453537e-257,1.6390729407453537e-257,spearman,True,2.5630912059860043,4.588229227569869,0.6666666666666666,3.28476086176681,nao_irrigado,6
488,865.7465932037776,2.743218413230553e-190,1.4737940925081146e-187,37.704374794947704,1.6973820884144195e-227,1.0306427154263858e-225,-0.6715825968912835,1.4779621682178408e-227,7.94035174875035e-226,-0.7072075063791505,8.611195423822272e-263,4.6263647414485154e-260,4.6263647414485154e-260,spearman,True,2.56090787163837,4.5875357519591535,0.6666666666666666,3.2834662972855524,nao_irrigado,7
490,875.8182420408893,1.77306137288821e-192,1.9051544451683815e-189,37.11971995983862,6.030889336506769e-221,2.945541178216602e-219,-0.6659794577148311,1.849769738408273e-222,8.457776952849743e-221,-0.7113092549490233,3.4208028749485355e-267,3.6756526891322013e-264,3.6756526891322013e-264,spearman,True,2.558460663545255,4.554756473931854,0.6666666666666666,3.267614378531366,nao_irrigado,8
489,864.4465292957057,5.258855721269995e-190,2.2602561890018437e-187,37.3014478889976,9.046679670413956e-224,4.741784051638925e-222,-0.6677015168405401,5.156336260925062e-224,2.462437027717324e-222,-0.706676311463007,3.15798907712478e-262,1.3573037053482304e-259,1.3573037053482304e-259,spearman,True,2.543870479831126,4.5407712871584485,0.6666666666666666,3.254755461811975,nao_irrigado,9
491,881.263807683461,1.1611579146277265e-193,2.4953283585349845e-190,36.6217637678095,7.504718967787657e-215,3.2913553187297294e-213,-0.6610340376254709,4.728857330321288e-218,1.917417811860462e-216,-0.7135171781656893,1.358329901040638e-269,2.919050957336331e-266,2.919050957336331e-266,spearman,True,2.550334454486748,4.5103344670181835,0.6666666666666666,3.2439676813438862,nao_irrigado,10
485,835.7200002496638,9.249095883318291e-184,1.8069370048410003e-181,37.920497791449584,2.5423725025272264e-224,1.400912437931028e-222,-0.673461781190244,2.721648742554416e-229,1.6328896788179618e-227,-0.6948352839192353,5.730254734770244e-250,1.1194834022746594e-247,1.1194834022746594e-247,spearman,True,2.512499413555195,4.467535924765276,0.6666666666666666,3.207682568910879,nao_irrigado,11
1427,793.1533165866413,1.6621158912561796e-174,1.116214703221728e-172,39.421237147956084,6.535973000631258e-240,1.4045805978356572e-237,-0.6877092560054344,7.099936099594461e-243,1.7052749009703067e-240,-0.6769086102709503,1.6561973966422945e-232,1.112240064182591e-230,1.7052749009703067e-240,pearson,True,2.4868373062709295,4.479743606264711,0.6666666666666666,3.201628077307705,nao_irrigado,12
1426,794.1549111214672,1.0066869935464337e-174,7.211234497104286e-173,39.36568405962883,2.3165913402037264e-239,4.148628991748173e-237,-0.6871961352589789,2.25989780056542e-242,4.4150185212864433e-240,-0.6773358757469787,6.567872788175526e-233,4.7047862072630686e-231,4.4150185212864433e-240,pearson,True,2.4867335060601836,4.477845620481584,0.6666666666666666,3.2007272736104624,nao_irrigado,13
1428,791.5520799078404,3.7051274625280802e-174,2.211755254714679e-172,39.42068242738449,5.474335714711007e-240,1.3993657901454546e-237,-0.6877066605573324,7.141681763021294e-243,1.7052749009703067e-240,-0.6762249855093048,7.250963696326354e-232,4.328422495390371e-230,1.7052749009703067e-240,pearson,True,2.4838052736354848,4.474410222172187,0.6666666666666666,3.197863639780119,nao_irrigado,14
1429,790.6439896423426,5.837690724970383e-174,3.2167172738362444e-172,39.432737046474834,3.3753635652392536e-240,1.036236614528451e-237,-0.6878206918468514,5.519681687538061e-243,1.6945422780741845e-240,-0.6758369822662087,1.6733795562995045e-231,9.220750426891373e-230,1.6945422780741845e-240,pearson,True,2.4825298232032864,4.472253883912827,0.6666666666666666,3.196319334868918,nao_irrigado,15
1425,794.2686455787771,9.509689024751169e-175,7.047007487651815e-173,39.28590008359387,1.43381891551982e-238,2.2009120353229235e-236,-0.6864573408124717,1.1918938064542964e-241,1.9702921462079097e-239,-0.6773843761523657,5.91268388802821e-233,4.3815026466802143e-231,1.9702921462079097e-239,pearson,True,2.484088266285462,4.469859418601993,0.6666666666666666,3.1959431248660217,nao_irrigado,16
