wavelength,anova_f,anova_p,anova_q,mutual_info,rf_importance,lasso_coef,rfe_rank,pls_coef,vip,combined_score,direction
390,1109.1612724314177,2.438018235110532e-188,1.71940236843369e-187,0.2924536169369063,0.01216045523104773,0.24764599661933961,nan,0.15292049882583003,1.371271400190994,20.95538351173918,irrigado
375,1112.6593712142144,8.39565127646173e-189,6.039814680825813e-188,0.27466342954208844,0.011685619242428976,0.648655592188753,nan,0.10063296073558418,1.373718379635259,18.258250522091796,irrigado
387,1110.1544931614155,1.8010405129179515e-188,1.2870558615569813e-187,0.28438988801654297,0.013044550845610176,0.0,nan,-0.0389768905203319,1.363799351214783,17.211721546398472,nao_irrigado
396,1049.213740324688,2.5784858247379107e-180,1.4711732119393225e-179,0.2882392986356457,0.00221158153796203,-1.198750876336978,nan,-0.3106322971743797,1.3153826068176235,17.20240823653873,nao_irrigado
379,1091.4588223027174,5.480314113807347e-186,3.638319647777655e-185,0.29306139058920033,0.011336921765928203,0.0,nan,0.06769685797325248,1.3552969262130257,16.78367809552974,irrigado
378,1098.7229338021589,5.915407861894313e-187,4.013893473480968e-186,0.28380456646127405,0.006998343429921722,1.610688806248169,nan,0.14876355313238837,1.3697892745982958,15.968197553503897,irrigado
395,1065.8378818875497,1.4752675456108854e-182,8.938874621433843e-182,0.27727561256982547,0.0074654565346525936,0.0,nan,-0.14507156019377854,1.3254199188169395,15.583931131749214,nao_irrigado
383,1126.0235818310493,1.4471338426558284e-190,1.0808280887335719e-189,0.27938526726772994,0.009443052667082537,0.0,nan,0.07190902753791227,1.3885892678822103,15.439004173490602,irrigado
373,1104.4230928904763,1.0352851393275561e-187,7.183543015140559e-187,0.28382458714864245,0.008419144674636047,0.0,nan,-0.0813348925662725,1.3841323867799329,14.84304463981262,nao_irrigado
394,1084.7208828862574,4.343383236776736e-185,2.797190821049928e-184,0.28568824304399154,0.00801555860034888,0.0,nan,0.1018830674434307,1.341845014758743,14.81798005049531,irrigado
391,1105.9488292759513,6.49704882689654e-188,4.5227029212473976e-187,0.2951956045271571,0.008369794883322516,0.7023061912067886,nan,0.06874133314443867,1.36780732773441,14.377791461266256,irrigado
385,1090.1160962433826,8.275409121105222e-186,5.460246938496115e-185,0.27488008295707944,0.010246372238056294,0.34060878151756174,nan,0.031550863193411285,1.3629235951670615,14.173203763304457,irrigado
