subset,band,wavelength_nm
ttest_top_15,band_727,727
ttest_top_15,band_728,728
ttest_top_15,band_726,726
ttest_top_15,band_729,729
ttest_top_15,band_725,725
ttest_top_15,band_730,730
ttest_top_15,band_724,724
ttest_top_15,band_723,723
ttest_top_15,band_722,722
ttest_top_15,band_721,721
ttest_top_15,band_720,720
ttest_top_15,band_719,719
ttest_top_15,band_718,718
ttest_top_15,band_383,383
ttest_top_15,band_382,382
