subset,band,wavelength_nm
ttest_top_30,band_727,727
ttest_top_30,band_728,728
ttest_top_30,band_726,726
ttest_top_30,band_729,729
ttest_top_30,band_725,725
ttest_top_30,band_730,730
ttest_top_30,band_724,724
ttest_top_30,band_723,723
ttest_top_30,band_722,722
ttest_top_30,band_721,721
ttest_top_30,band_720,720
ttest_top_30,band_719,719
ttest_top_30,band_718,718
ttest_top_30,band_383,383
ttest_top_30,band_382,382
ttest_top_30,band_384,384
ttest_top_30,band_381,381
ttest_top_30,band_380,380
ttest_top_30,band_375,375
ttest_top_30,band_385,385
ttest_top_30,band_374,374
ttest_top_30,band_376,376
ttest_top_30,band_379,379
ttest_top_30,band_377,377
ttest_top_30,band_378,378
ttest_top_30,band_391,391
ttest_top_30,band_392,392
ttest_top_30,band_373,373
ttest_top_30,band_390,390
ttest_top_30,band_386,386
