subset,band,wavelength_nm
intersection_q_lt_0_05,band_2444,2444
intersection_q_lt_0_05,band_350,350
intersection_q_lt_0_05,band_351,351
intersection_q_lt_0_05,band_352,352
intersection_q_lt_0_05,band_353,353
intersection_q_lt_0_05,band_354,354
intersection_q_lt_0_05,band_355,355
intersection_q_lt_0_05,band_356,356
intersection_q_lt_0_05,band_357,357
intersection_q_lt_0_05,band_358,358
intersection_q_lt_0_05,band_359,359
intersection_q_lt_0_05,band_360,360
intersection_q_lt_0_05,band_361,361
intersection_q_lt_0_05,band_362,362
intersection_q_lt_0_05,band_363,363
intersection_q_lt_0_05,band_364,364
intersection_q_lt_0_05,band_365,365
intersection_q_lt_0_05,band_366,366
intersection_q_lt_0_05,band_367,367
intersection_q_lt_0_05,band_368,368
intersection_q_lt_0_05,band_369,369
intersection_q_lt_0_05,band_370,370
intersection_q_lt_0_05,band_371,371
intersection_q_lt_0_05,band_372,372
intersection_q_lt_0_05,band_373,373
intersection_q_lt_0_05,band_374,374
intersection_q_lt_0_05,band_375,375
intersection_q_lt_0_05,band_376,376
intersection_q_lt_0_05,band_377,377
intersection_q_lt_0_05,band_378,378
intersection_q_lt_0_05,band_379,379
intersection_q_lt_0_05,band_380,380
intersection_q_lt_0_05,band_381,381
intersection_q_lt_0_05,band_382,382
intersection_q_lt_0_05,band_383,383
intersection_q_lt_0_05,band_384,384
intersection_q_lt_0_05,band_385,385
intersection_q_lt_0_05,band_386,386
intersection_q_lt_0_05,band_387,387
intersection_q_lt_0_05,band_388,388
intersection_q_lt_0_05,band_389,389
intersection_q_lt_0_05,band_390,390
intersection_q_lt_0_05,band_391,391
intersection_q_lt_0_05,band_392,392
intersection_q_lt_0_05,band_393,393
intersection_q_lt_0_05,band_394,394
intersection_q_lt_0_05,band_395,395
intersection_q_lt_0_05,band_396,396
intersection_q_lt_0_05,band_397,397
intersection_q_lt_0_05,band_398,398
intersection_q_lt_0_05,band_399,399
intersection_q_lt_0_05,band_400,400
intersection_q_lt_0_05,band_401,401
intersection_q_lt_0_05,band_402,402
intersection_q_lt_0_05,band_403,403
intersection_q_lt_0_05,band_404,404
intersection_q_lt_0_05,band_405,405
intersection_q_lt_0_05,band_406,406
intersection_q_lt_0_05,band_407,407
intersection_q_lt_0_05,band_408,408
intersection_q_lt_0_05,band_409,409
intersection_q_lt_0_05,band_410,410
intersection_q_lt_0_05,band_411,411
intersection_q_lt_0_05,band_412,412
intersection_q_lt_0_05,band_413,413
intersection_q_lt_0_05,band_414,414
intersection_q_lt_0_05,band_415,415
intersection_q_lt_0_05,band_416,416
intersection_q_lt_0_05,band_418,418
intersection_q_lt_0_05,band_420,420
intersection_q_lt_0_05,band_421,421
intersection_q_lt_0_05,band_422,422
intersection_q_lt_0_05,band_423,423
intersection_q_lt_0_05,band_424,424
intersection_q_lt_0_05,band_425,425
intersection_q_lt_0_05,band_426,426
intersection_q_lt_0_05,band_427,427
intersection_q_lt_0_05,band_428,428
intersection_q_lt_0_05,band_429,429
intersection_q_lt_0_05,band_430,430
intersection_q_lt_0_05,band_431,431
intersection_q_lt_0_05,band_432,432
intersection_q_lt_0_05,band_434,434
intersection_q_lt_0_05,band_436,436
intersection_q_lt_0_05,band_437,437
intersection_q_lt_0_05,band_438,438
intersection_q_lt_0_05,band_439,439
intersection_q_lt_0_05,band_440,440
intersection_q_lt_0_05,band_441,441
intersection_q_lt_0_05,band_443,443
intersection_q_lt_0_05,band_444,444
intersection_q_lt_0_05,band_445,445
intersection_q_lt_0_05,band_446,446
intersection_q_lt_0_05,band_447,447
intersection_q_lt_0_05,band_448,448
intersection_q_lt_0_05,band_451,451
intersection_q_lt_0_05,band_452,452
intersection_q_lt_0_05,band_453,453
intersection_q_lt_0_05,band_454,454
intersection_q_lt_0_05,band_455,455
intersection_q_lt_0_05,band_456,456
intersection_q_lt_0_05,band_457,457
intersection_q_lt_0_05,band_458,458
intersection_q_lt_0_05,band_459,459
intersection_q_lt_0_05,band_460,460
intersection_q_lt_0_05,band_461,461
intersection_q_lt_0_05,band_462,462
intersection_q_lt_0_05,band_465,465
intersection_q_lt_0_05,band_466,466
intersection_q_lt_0_05,band_467,467
intersection_q_lt_0_05,band_470,470
intersection_q_lt_0_05,band_471,471
intersection_q_lt_0_05,band_473,473
intersection_q_lt_0_05,band_476,476
intersection_q_lt_0_05,band_477,477
intersection_q_lt_0_05,band_478,478
intersection_q_lt_0_05,band_479,479
intersection_q_lt_0_05,band_480,480
intersection_q_lt_0_05,band_481,481
intersection_q_lt_0_05,band_482,482
intersection_q_lt_0_05,band_483,483
intersection_q_lt_0_05,band_485,485
intersection_q_lt_0_05,band_486,486
intersection_q_lt_0_05,band_487,487
intersection_q_lt_0_05,band_489,489
intersection_q_lt_0_05,band_490,490
intersection_q_lt_0_05,band_491,491
intersection_q_lt_0_05,band_492,492
intersection_q_lt_0_05,band_493,493
intersection_q_lt_0_05,band_494,494
intersection_q_lt_0_05,band_495,495
intersection_q_lt_0_05,band_496,496
intersection_q_lt_0_05,band_497,497
intersection_q_lt_0_05,band_498,498
intersection_q_lt_0_05,band_717,717
intersection_q_lt_0_05,band_718,718
intersection_q_lt_0_05,band_719,719
intersection_q_lt_0_05,band_720,720
intersection_q_lt_0_05,band_721,721
intersection_q_lt_0_05,band_722,722
intersection_q_lt_0_05,band_723,723
intersection_q_lt_0_05,band_724,724
intersection_q_lt_0_05,band_725,725
intersection_q_lt_0_05,band_726,726
intersection_q_lt_0_05,band_727,727
intersection_q_lt_0_05,band_728,728
intersection_q_lt_0_05,band_729,729
intersection_q_lt_0_05,band_730,730
