subset,band,wavelength_nm
kruskal_top_20,band_381,381
kruskal_top_20,band_377,377
kruskal_top_20,band_361,361
kruskal_top_20,band_380,380
kruskal_top_20,band_384,384
kruskal_top_20,band_376,376
kruskal_top_20,band_383,383
kruskal_top_20,band_391,391
kruskal_top_20,band_379,379
kruskal_top_20,band_378,378
kruskal_top_20,band_382,382
kruskal_top_20,band_389,389
kruskal_top_20,band_387,387
kruskal_top_20,band_386,386
kruskal_top_20,band_385,385
kruskal_top_20,band_360,360
kruskal_top_20,band_390,390
kruskal_top_20,band_392,392
kruskal_top_20,band_388,388
kruskal_top_20,band_375,375
